Afghanistan,Asia,0,0,2,1,0,0,0
Armenia,Asia,0,0,1,0,0,0,0
Azerbaijan,Asia,0,0,2,1,0,1,0
Bahrain,Asia,1,1,1,1,0,1,0
Bangladesh,Asia,0,1,2,0,0,0,0
Bhutan,Asia,0,0,1,0,0,0,1
Brunei,Asia,0,1,1,0,0,1,0
Cambodia,Asia,0,1,1,0,0,0,0
China,Asia,0,0,3,1,0,1,0
Georgia,Asia,0,0,1,0,0,0,0
India,Asia,0,1,3,0,0,0,1
Indonesia,Asia,1,1,3,0,0,0,0
Iran,Asia,0,0,3,1,0,0,0
Iraq,Asia,0,1,2,1,0,0,0
Israel,Asia,0,0,1,1,0,1,0
Japan,Asia,1,0,2,0,0,1,0
Jordan,Asia,0,0,2,1,0,0,0
Kazakhstan,Asia,0,0,2,1,1,1,0
Kuwait,Asia,0,1,1,1,0,1,0
Kyrgyzstan,Asia,0,0,1,0,1,0,1
Laos,Asia,0,1,1,0,0,0,0
Lebanon,Asia,0,1,1,0,0,0,0
Malaysia,Asia,1,1,2,0,0,1,0
Maldives,Asia,1,1,1,0,0,0,0
Mongolia,Asia,0,0,1,0,1,0,0
Myanmar,Asia,0,1,2,0,0,0,0
Nepal,Asia,0,0,1,0,0,0,1
North Korea,Asia,0,0,2,0,0,0,0
Oman,Asia,0,1,1,1,0,1,0
Pakistan,Asia,0,1,3,1,0,0,1
Philippines,Asia,1,1,2,0,0,0,0
Qatar,Asia,0,1,1,1,0,1,0
Saudi Arabia,Asia,0,1,3,1,0,1,0
Singapore,Asia,1,1,1,0,0,1,0
South Korea,Asia,0,0,2,0,0,1,0
Sri Lanka,Asia,1,1,1,0,0,0,0
Syria,Asia,0,1,2,1,0,0,0
Tajikistan,Asia,0,0,1,0,1,0,1
Thailand,Asia,0,1,2,0,0,0,0
Timor-Leste,Asia,1,1,1,0,0,0,0
Turkey,Asia,0,0,3,0,0,1,0
Turkmenistan,Asia,0,0,1,1,0,0,0
UAE,Asia,0,1,2,1,0,1,0
Uzbekistan,Asia,0,0,2,1,0,0,0
Vietnam,Asia,0,1,2,0,0,0,0
Yemen,Asia,0,1,2,1,0,0,0
Albania,Europe,0,0,1,0,0,0,0
Andorra,Europe,0,0,1,0,1,1,0
Austria,Europe,0,0,1,0,1,1,0
Belarus,Europe,0,0,2,0,1,0,0
Belgium,Europe,0,0,2,0,0,1,0
Bosnia and Herzegovina,Europe,0,0,1,0,0,0,0
Bulgaria,Europe,0,0,1,0,0,0,0
Croatia,Europe,0,0,1,0,0,0,0
Czech Republic,Europe,0,0,2,0,0,1,0
Denmark,Europe,0,0,1,0,1,1,0
Estonia,Europe,0,0,1,0,1,1,0
Finland,Europe,0,0,1,0,1,1,0
France,Europe,0,0,3,0,0,1,0
Germany,Europe,0,0,3,0,0,1,0
Greece,Europe,0,0,1,0,0,0,0
Hungary,Europe,0,0,1,0,0,1,0
Iceland,Europe,1,0,0,0,1,1,0
Ireland,Europe,1,0,1,0,0,1,0
Italy,Europe,0,0,3,0,0,1,0
Kosovo,Europe,0,0,1,0,0,0,0
Latvia,Europe,0,0,1,0,1,1,0
Liechtenstein,Europe,0,0,0,0,1,1,0
Lithuania,Europe,0,0,1,0,1,1,0
Luxembourg,Europe,0,0,0,0,0,1,0
Malta,Europe,1,0,0,0,0,1,0
Moldova,Europe,0,0,1,0,0,0,0
Monaco,Europe,0,0,0,0,0,1,0
Montenegro,Europe,0,0,0,0,0,0,0
Netherlands,Europe,0,0,2,0,0,1,0
North Macedonia,Europe,0,0,0,0,0,0,0
Norway,Europe,0,0,2,0,1,1,0
Poland,Europe,0,0,3,0,0,1,0
Portugal,Europe,0,1,2,0,0,1,0
Romania,Europe,0,0,2,0,0,0,0
Russia,Europe,0,0,3,1,1,1,0
San Marino,Europe,0,0,0,0,0,1,0
Serbia,Europe,0,0,1,0,0,0,0
Slovakia,Europe,0,0,1,0,0,1,0
Slovenia,Europe,0,0,0,0,0,1,0
Spain,Europe,0,1,3,0,0,1,0
Sweden,Europe,0,0,2,0,1,1,0
Switzerland,Europe,0,0,1,0,1,1,0
Ukraine,Europe,0,0,3,0,1,0,0
United Kingdom,Europe,1,0,3,0,0,1,0
Vatican City,Europe,0,0,0,0,0,1,0
Algeria,Africa,0,1,3,1,0,0,0
Angola,Africa,0,1,3,0,0,0,0
Benin,Africa,0,1,1,0,0,0,0
Botswana,Africa,0,1,0,1,0,0,0
Burkina Faso,Africa,0,1,1,0,0,0,0
Burundi,Africa,0,1,1,0,0,0,0
Cape Verde,Africa,1,1,0,0,0,0,0
Cameroon,Africa,0,1,2,0,0,0,0
Central African Republic,Africa,0,1,0,0,0,0,0
Chad,Africa,0,1,1,1,0,0,0
Comoros,Africa,1,1,0,0,0,0,0
Congo,Africa,0,1,1,0,0,0,0
DR Congo,Africa,0,1,3,0,0,0,0
Djibouti,Africa,0,1,0,1,0,0,0
Egypt,Africa,0,1,3,1,0,0,0
Equatorial Guinea,Africa,0,1,0,0,0,0,0
Eritrea,Africa,0,1,0,1,0,0,0
Eswatini,Africa,0,1,0,0,0,0,0
Ethiopia,Africa,0,1,3,0,0,0,0
Gabon,Africa,0,1,0,0,0,0,0
Gambia,Africa,0,1,0,0,0,0,0
Ghana,Africa,0,1,2,0,0,0,0
Guinea,Africa,0,1,1,0,0,0,0
Guinea-Bissau,Africa,0,1,0,0,0,0,0
Ivory Coast,Africa,0,1,2,0,0,0,0
Kenya,Africa,0,1,2,0,0,0,0
Lesotho,Africa,0,0,0,0,1,0,0
Liberia,Africa,0,1,1,0,0,0,0
Libya,Africa,0,1,1,1,0,0,0
Madagascar,Africa,1,1,1,0,0,0,0
Malawi,Africa,0,1,1,0,0,0,0
Mali,Africa,0,1,1,1,0,0,0
Mauritania,Africa,0,1,0,1,0,0,0
Mauritius,Africa,1,1,0,0,0,1,0
Morocco,Africa,0,1,3,1,0,0,0
Mozambique,Africa,0,1,2,0,0,0,0
Namibia,Africa,0,1,0,1,0,0,0
Niger,Africa,0,1,1,1,0,0,0
Nigeria,Africa,0,1,3,0,0,0,0
Rwanda,Africa,0,1,1,0,0,0,0
Sao Tome and Principe,Africa,1,1,0,0,0,0,0
Senegal,Africa,0,1,1,0,0,0,0
Seychelles,Africa,1,1,0,0,0,1,0
Sierra Leone,Africa,0,1,1,0,0,0,0
Somalia,Africa,0,1,1,1,0,0,0
South Africa,Africa,0,0,3,0,0,1,0
South Sudan,Africa,0,1,1,0,0,0,0
Sudan,Africa,0,1,2,1,0,0,0
Tanzania,Africa,0,1,2,0,0,0,0
Togo,Africa,0,1,1,0,0,0,0
Tunisia,Africa,0,1,1,1,0,0,0
Uganda,Africa,0,1,2,0,0,0,0
Zambia,Africa,0,1,1,0,0,0,0
Zimbabwe,Africa,0,1,1,0,0,0,0
Antigua and Barbuda,North America,1,1,0,0,0,1,0
Bahamas,North America,1,1,0,0,0,1,0
Barbados,North America,1,1,0,0,0,1,0
Belize,North America,0,1,0,0,0,0,0
Canada,North America,0,0,3,0,1,1,0
Costa Rica,North America,0,1,1,0,0,0,0
Cuba,North America,1,1,2,0,0,0,0
Dominica,North America,1,1,0,0,0,0,0
Dominican Republic,North America,1,1,2,0,0,0,0
El Salvador,North America,0,1,1,0,0,0,0
Grenada,North America,1,1,0,0,0,1,0
Guatemala,North America,0,1,2,0,0,0,0
Haiti,North America,1,1,2,0,0,0,0
Honduras,North America,0,1,1,0,0,0,0
Jamaica,North America,1,1,1,0,0,0,0
Mexico,North America,0,1,3,0,0,0,0
Nicaragua,North America,0,1,1,0,0,0,0
Panama,North America,0,1,1,0,0,0,0
Saint Kitts and Nevis,North America,1,1,0,0,0,1,0
Saint Lucia,North America,1,1,0,0,0,1,0
Saint Vincent and the Grenadines,North America,1,1,0,0,0,1,0
Trinidad and Tobago,North America,1,1,1,0,0,1,0
United States,North America,0,0,3,0,0,1,0
Argentina,South America,0,0,3,0,1,1,0
Bolivia,South America,0,1,1,0,0,0,0
Brazil,South America,0,1,3,0,0,0,0
Chile,South America,0,0,2,0,1,1,0
Colombia,South America,0,1,3,0,0,0,0
Ecuador,South America,0,1,1,0,0,0,0
Guyana,South America,0,1,0,0,0,0,0
Paraguay,South America,0,1,1,0,0,0,0
Peru,South America,0,1,2,0,1,0,0
Suriname,South America,0,1,0,0,0,0,0
Uruguay,South America,0,0,1,0,0,1,0
Venezuela,South America,0,1,2,0,0,0,0
Australia,Oceania,0,0,2,0,1,1,0
Fiji,Oceania,1,1,0,0,0,0,0
Kiribati,Oceania,1,1,0,0,0,0,0
Marshall Islands,Oceania,1,1,0,0,0,0,0
Micronesia,Oceania,1,1,0,0,0,0,0
Nauru,Oceania,1,1,0,0,0,1,0
New Zealand,Oceania,0,0,1,0,1,1,0
Palau,Oceania,1,1,0,0,0,0,0
Papua New Guinea,Oceania,0,1,1,0,0,0,0
Samoa,Oceania,1,1,0,0,0,0,0
Solomon Islands,Oceania,1,1,0,0,0,0,0
Tonga,Oceania,1,1,0,0,0,0,0
Tuvalu,Oceania,1,1,0,0,0,0,0
Vanuatu,Oceania,1,1,0,0,0,0,0
New Caledonia,Oceania,1,1,0,0,0,0,0
Niue,Oceania,1,1,0,0,0,0,0
